Room Number,Description,Classroom Setup,Capacity
021-265,"Biological Sciences Building, Room 265","Tiered Seating, Fixed",140
021-328,"Biolgocial Sciences Building, Room 328",Instructional Lab - Wet,25
021-333,"Biological Sciences Building, Room 333",Traditional Classroom,24
021-413,"Biological Sciences Building, Room 413",Computer Stations,30
021-419,"Biological Sciences Building, Room 419",Traditional Classroom,24
023-102,"Babbitt Academic Annex Building 23, Room 102","Conference Style, Square",14
023-103,"Babbitt Academic Annex Building, Room 103",Seminar Seating,25
023-107,"Babbitt Academic Annex Building, Room 107",Computer Stations,25
023-109,"Babbitt Academic Annex Building, Room 109",Seminar Seating,25
023-110,"Babbitt Academic Annex Building, Room 110",Seminar Seating,25
023-111,"Babbitt Academic Annex Building, Room 111",Traditional Classroom,28
023-112,"Babbitt Academic Annex Building, Room 112",Seminar Seating,23
023-113,"Babbitt Academic Annex Building, Room 113",Traditional Classroom,25
023-114,"Babbitt Academic Annex Building, Room 114",Traditional Classroom,26
023-205,"Babbitt Academic Annex Building, Room 205",Computer Stations,23
023-209,"Babbitt Academic Annex Building, Room 209",Seminar Seating,25
023-223,"Babbitt Academic Annex Building, Room 223",Seminar Seating,25
023-226,"Babbitt Academic Annex Building, Room 226b",Seminar Seating,12
025-1202,"Health & Learning Ctr, Room 1202",Gym,40
025-1220,"Health & Learning Ctr, Room 1220",Gym,40
025-1222,"Health & Learning Ctr, Room 1222",Fitness,35
025-1404,"Health & Learning Ctr, Room 1404",Racquetball Court,20
025-1405,"Health & Learning Ctr, Room 1405",Racquetball Court,20
025-1406,"Health & Learning Ctr, Room 1406",Racquetball Court,20
025-1407,"Health & Learning Ctr, Room 1407",Racquetball Court,20
025-1408,"Health & Learning Ctr, Room 1408",Racquetball Court,20
025-1409,"Health & Learning Ctr, Room 1409",Racquetball Court,20
025-1413,"Health & Learning Ctr, Room 1413",Gym,40
025-1414,"Health & Learning Ctr, Room 1414",Gym,60
025-2110,"Health & Learning Ctr, Room 2110",Fitness,50
025-2115,"Health & Learning Ctr, Room 2115",Fitness,35
025-3101,"Health and Learning Center, Room 3101",Tiered Seating,65
025-3102,"Health and Learning Center, Room 3102",Traditional Classroom,36
025-3103,"Health and Learning Center, Room 3103",Traditional Classroom,36
025-3104,"Health and Learning Center, Room 3104",Traditional Classroom,36
025-3105,"Health and Learning Center, Room 3105",Traditional Classroom,36
025-3106,"Health and Learning Center, Room 3106",Traditional Classroom,36
025-3108,"Health and Learning Center, Room 3108",Tiered Seating,76
025-3109,"Health and Learning Center, Room 3109",Traditional Classroom,36
025-3110,"Health and Learning Center, Room 3110",Traditional Classroom,36
025-3111,"Health and Learning Center, Room 3111",Traditional Classroom,36
025-3112,"Health and Learning Center, Room 3112",Traditional Classroom,36
025-3113,"Health and Learning Center, Room 3113",Traditional Classroom,70
025-4103,"Health and Learning Center, Room 4103",Traditional Classroom,33
025-4104,"Health and  Learning Center, Room 4104",Classroom Rows,58
025-4105,"Health and Learning Center, Room 4105",Traditional Classroom,34
025-4106,"Health and Learning Center, Room 4106",Traditional Classroom,36
025-4108,"Health and Learning Center, Room 4108",Traditional Classroom,38
025-4109,"Health and Learning Center, Room 4109",Computer Stations,36
025-4110,"Health and Learning Center, Room 4110",Traditional Classroom,42
025-4111,"Health and Learning Center, Room 4111",Traditional Classroom,36
025-4112,"Health and Learning Center, Room 4112",Traditional Classroom,38
025-4113,"Health and Learning Center, Room 4113",Traditional Classroom,44
025-4114,"Health and Learning Center, Room 4114",Traditional Classroom,38
025-4115,"Health and  Learning Ctr, Room 4115",Exercise Style,40
026-146,"Adel Mathematics Building, Room 146",Seminar Seating,28
026-147,"Adel Mathematics Building, Room 147",Traditional Classroom,46
026-148,"Adel Mathematics Building, Room 148",Traditional Classroom,40
026-162,"Adel Mathematics Building, Room 162",Traditional Classroom,40
026-163,"Adel Mathematics Building, Room 163",Traditional Classroom,40
026-164,"Adel Mathematics Building, Room 164",Tiered Seating,50
026-205,"Adel Mathematics Building, Room 205",Traditional Classroom,40
026-206,"Adel Mathematics Building, Room 206",Traditional Classroom,36
026-207,"Adel Mathematics Building, Room 207",Seminar Seating,20
026-220,"Adel Mathematics Building, Room 220",Traditional Classroom,40
026-221,"Adel Mathematics Building, Room 221",Traditional Classroom,40
026-222,"Adel Mathematics Building, Room 222",Computer Stations,25
026-223,"Adel Mathematics Building, Room 223",Traditional Classroom,40
026-224,"Adel Mathematics Building, Room 224",Traditional Classroom,40
026-225,"Adel Mathematics Building, Room 225",Traditional Classroom,40
027-111,"IHD, Room 111","Conference Style, Square",25
